incident_key,occur_date,occur_time,boro,loc_of_occur_desc,precinct,jurisdiction_code,loc_classfctn_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race
279081321,2023-12-16T00:00:00.000,05:09:00,BROOKLYN,OUTSIDE,75,0,COMMERCIAL,FALSE,(null),(null),(null),25-44,M,ASIAN / PACIFIC ISLANDER
279138121,2023-12-16T00:00:00.000,18:26:00,MANHATTAN,OUTSIDE,34,0,STREET,FALSE,(null),(null),(null),18-24,M,BLACK
279071309,2023-12-15T00:00:00.000,14:22:00,BRONX,INSIDE,46,0,COMMERCIAL,FALSE,(null),(null),(null),18-24,M,BLACK HISPANIC
279071309,2023-12-15T00:00:00.000,14:22:00,BRONX,INSIDE,46,0,COMMERCIAL,FALSE,(null),(null),(null),18-24,M,BLACK
279121460,2023-12-15T00:00:00.000,18:40:00,BROOKLYN,OUTSIDE,77,0,STREET,FALSE,(null),(null),(null),18-24,M,BLACK
279036369,2023-12-14T00:00:00.000,11:50:00,MANHATTAN,INSIDE,5,0,DWELLING,FALSE,25-44,M,UNKNOWN,UNKNOWN,U,UNKNOWN
279025413,2023-12-14T00:00:00.000,18:55:00,BROOKLYN,OUTSIDE,73,0,STREET,FALSE,(null),(null),(null),18-24,M,BLACK
279025810,2023-12-14T00:00:00.000,21:40:00,BROOKLYN,INSIDE,81,0,COMMERCIAL,FALSE,(null),(null),(null),25-44,M,BLACK
279025412,2023-12-14T00:00:00.000,23:00:00,QUEENS,OUTSIDE,103,0,STREET,FALSE,<18,M,BLACK,25-44,M,BLACK
279025810,2023-12-14T00:00:00.000,21:40:00,BROOKLYN,INSIDE,81,0,COMMERCIAL,FALSE,(null),(null),(null),45-64,M,UNKNOWN
278865241,2023-12-12T00:00:00.000,07:25:00,BROOKLYN,OUTSIDE,69,0,DWELLING,FALSE,(null),(null),(null),25-44,F,BLACK
278915845,2023-12-12T00:00:00.000,05:00:00,QUEENS,OUTSIDE,113,0,STREET,TRUE,25-44,M,BLACK,25-44,M,BLACK
278902371,2023-12-12T00:00:00.000,18:30:00,QUEENS,INSIDE,115,0,COMMERCIAL,FALSE,(null),(null),(null),45-64,M,WHITE HISPANIC
278915846,2023-12-12T00:00:00.000,21:20:00,BROOKLYN,OUTSIDE,73,0,STREET,FALSE,(null),(null),(null),18-24,M,BLACK
278915845,2023-12-12T00:00:00.000,05:00:00,QUEENS,OUTSIDE,113,0,STREET,FALSE,25-44,M,BLACK,25-44,M,BLACK
278852377,2023-12-11T00:00:00.000,11:30:00,BRONX,INSIDE,47,0,COMMERCIAL,FALSE,(null),(null),(null),18-24,M,BLACK
278852378,2023-12-11T00:00:00.000,21:18:00,BROOKLYN,OUTSIDE,76,0,HOUSING,FALSE,(null),(null),(null),25-44,M,BLACK
